date,code,name,market_cap,price,open_price,high_price,low_price,gap,gap_ratio,trading_volume,institutional_volume,foreign_volume,foreign_ratio,forum_url
2022-04-07,53800,안랩,11506,114900,114900,116700,111000,1100,-0.95,374223,10193,76565,31.05,https://finance.naver.com/item/board.naver?code=053800
2022-04-07,122870,와이지엔터테인먼트,11497,62300,63900,64300,61700,2100,-3.26,517837,-143061,103523,7.86,https://finance.naver.com/item/board.naver?code=122870
2022-04-07,3380,하림지주,11313,10100,10200,10300,10000,200,-1.94,181615,412,-41713,7.16,https://finance.naver.com/item/board.naver?code=003380
2022-04-07,137400,피엔티,11302,49700,50000,50000,49000,500,-1.0,154790,792,7039,8.27,https://finance.naver.com/item/board.naver?code=137400
2022-04-08,247540,에코프로비엠,107378,468500,430300,492100,430200,38400,8.93,1009472,-3760,72530,11.02,https://finance.naver.com/item/board.naver?code=247540
2022-04-08,91990,셀트리온헬스케어,95517,61600,62300,63200,61300,800,-1.28,411893,-830,-63730,15.25,https://finance.naver.com/item/board.naver?code=091990
2022-04-08,66970,엘앤에프,87668,244000,238500,245000,237400,9500,4.05,856180,93138,87189,21.4,https://finance.naver.com/item/board.naver?code=066970
2022-04-08,263750,펄어비스,65361,98700,104200,104200,98400,4300,-4.17,705778,-32411,-251821,13.46,https://finance.naver.com/item/board.naver?code=263750
2022-04-08,293490,카카오게임즈,58853,75500,76500,77200,74500,400,-0.53,491295,-53094,26991,10.78,https://finance.naver.com/item/board.naver?code=293490
2022-04-08,112040,위메이드,33540,99900,103200,103200,99200,1700,-1.67,549754,-20533,-108651,6.13,https://finance.naver.com/item/board.naver?code=112040
2022-04-08,68760,셀트리온제약,33227,90900,91100,92700,90200,600,-0.66,61458,2943,8637,7.37,https://finance.naver.com/item/board.naver?code=068760
2022-04-08,278280,천보,33150,331500,324500,333000,322400,11100,3.46,105214,6387,14982,10.12,https://finance.naver.com/item/board.naver?code=278280
2022-04-08,28300,HLB,31770,29800,30050,30300,29600,150,-0.5,312809,25523,-87804,13.11,https://finance.naver.com/item/board.naver?code=028300
2022-04-08,35760,CJ ENM,27653,126100,125500,126300,124300,1500,1.2,69234,-26780,6242,21.18,https://finance.naver.com/item/board.naver?code=035760
2022-04-08,253450,스튜디오드래곤,27613,92000,89600,92000,88600,2800,3.14,123550,49528,5917,11.08,https://finance.naver.com/item/board.naver?code=253450
2022-04-08,58470,리노공업,26750,175500,176400,177300,174400,900,0.52,35095,2561,-5118,47.64,https://finance.naver.com/item/board.naver?code=058470
2022-04-08,96530,씨젠,25617,49050,49450,49900,48950,50,-0.1,277884,60373,-46450,16.71,https://finance.naver.com/item/board.naver?code=096530
2022-04-08,86520,에코프로,23880,99600,98300,104200,97000,1600,1.63,1326718,33114,-37808,8.9,https://finance.naver.com/item/board.naver?code=086520
2022-04-08,108320,LX세미콘,23453,144200,142300,144800,141600,1700,1.19,137139,-822,29361,34.96,https://finance.naver.com/item/board.naver?code=108320
2022-04-08,35900,JYP Ent.,22967,64700,62700,66200,62400,2100,3.35,976548,15100,25272,25.96,https://finance.naver.com/item/board.naver?code=035900
2022-04-08,196170,알테오젠,22603,53000,52800,54200,52300,600,1.15,157128,11621,12288,11.95,https://finance.naver.com/item/board.naver?code=196170
2022-04-08,48260,오스템임플란트,20386,142700,0,0,0,0,0.0,0,0,0,43.77,https://finance.naver.com/item/board.naver?code=048260
2022-04-08,5290,동진쎄미켐,19332,37600,37200,38000,36600,650,1.76,583544,28598,-75012,8.59,https://finance.naver.com/item/board.naver?code=005290
2022-04-08,357780,솔브레인,18459,237300,236400,238100,233000,900,0.38,17279,-911,-2027,27.76,https://finance.naver.com/item/board.naver?code=357780
2022-04-08,41510,에스엠,18305,77000,77900,79100,75800,900,-1.16,674229,-26254,-69109,17.15,https://finance.naver.com/item/board.naver?code=041510
2022-04-08,240810,원익IPS,18235,37150,37500,37700,36800,200,-0.54,134320,-53,-19804,19.39,https://finance.naver.com/item/board.naver?code=240810
2022-04-08,25900,동화기업,18221,90200,87700,90700,87700,3200,3.68,152206,46251,-7733,42.95,https://finance.naver.com/item/board.naver?code=025900
